[2025-11-25 00:23:33] [INFO    ] discord.client: logging in using static token
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-fwk0",{"micros":0.0}]']}}
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Blockchain', 'public_flags': 65536, 'primary_guild': None, 'mfa_enabled': True, 'id': '1430274526398251118', 'global_name': None, 'flags': 65536, 'email': None, 'discriminator': '9087', 'clan': None, 'bot': True, 'avatar': '9dbb177084f9c738cb5dee3f269a9a2d'}, 'session_type': 'normal', 'session_id': 'c8535900e7e9fbf404bce123da2fb720', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1276297768406618142'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['buenos-aires', 'santiago', 'brazil', 'atlanta', 'southafrica'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1430274526398251118', 'flags': 27787264}, '_trace': ['["gateway-prd-arm-us-east1-c-fwk0",{"micros":177051,"calls":["id_created",{"micros":608,"calls":[]},"session_lookup_time",{"micros":1423,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-26",{"micros":174790,"calls":["start_session",{"micros":127414,"calls":["discord-api-rpc-7b6664bf4-f7rjs",{"micros":60702,"calls":["get_user",{"micros":19622},"get_guilds",{"micros":3963},"send_scheduled_deletion_message",{"micros":23},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":26},"pending_payments",{"micros":54032},"apex_experiments",{"micros":4183},"user_activities",{"micros":8},"played_application_ids",{"micros":4},"linked_users",{"micros":11}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":5646,"calls":[]},"guilds_started",{"micros":61,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":41609,"calls":[]},"connect_finished",{"micros":41618,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-11-25 00:23:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-25 00:23:36] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c8535900e7e9fbf404bce123da2fb720).
[2025-11-25 00:23:36] [DEBUG   ] discord.client: Dispatching event connect
[2025-11-25 00:23:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_id': None, 'system_channel_id': None, 'profile': None, 'inventory_settings': None, 'activity_instances': [], 'stage_instances': [], 'nsfw_level': 0, 'explicit_content_filter': 2, 'joined_at': '2025-10-30T19:06:58.221000+00:00', 'presences': [], 'id': '1276297768406618142', 'members': [{'user': {'username': 'Blockchain', 'public_flags': 65536, 'primary_guild': None, 'id': '1430274526398251118', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9087', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '9dbb177084f9c738cb5dee3f269a9a2d'}, 'roles': ['1433532651968532653'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-30T19:06:58.221000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_command_counts': {}, 'large': False, 'premium_subscription_count': 0, 'name': 'Servidor de KaTo', 'features': ['NEWS', 'COMMUNITY'], 'region': 'deprecated', 'emojis': [], 'threads': [], 'rules_channel_id': '1432774442085519370', 'afk_timeout': 300, 'channels': [{'version': 1724363500588, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1276297768939421767', 'flags': 0}, {'version': 1724363500595, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1276297768939421768', 'flags': 0}, {'version': 1724363500659, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1276297768939421768', 'name': 'General', 'last_message_id': None, 'id': '1276297768939421770', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1761670446669, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1276297768406618142', 'deny': '2048', 'allow': '0'}], 'name': 'rules', 'last_message_id': None, 'id': '1432774442085519370', 'flags': 0}, {'version': 1761670446718, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1276297768406618142', 'deny': '1024', 'allow': '0'}], 'name': 'moderator-only', 'last_message_id': '1436905040848617504', 'id': '1432774442085519374', 'flags': 0}, {'version': 1764039984697, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1433532651968532653', 'deny': '0', 'allow': '805686352'}, {'type': 0, 'id': '1276297768406618142', 'deny': '1024', 'allow': '0'}], 'parent_id': '1276297768939421767', 'nsfw': False, 'name': 'general', 'last_message_id': '1442709820598779955', 'id': '1435321206545973381', 'flags': 0}, {'version': 1764039966977, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1276297768939421767', 'nsfw': False, 'name': 'general', 'last_message_id': None, 'id': '1442712930641641594', 'flags': 0}], 'owner_id': '530073536107118613', 'owner_configured_content_level': 0, 'moderator_reporting': None, 'description': None, 'default_message_notifications': 1, 'icon': None, 'premium_progress_bar_enabled': False, 'hub_type': None, 'incidents_data': None, 'home_header': None, 'splash': None, 'stickers': [], 'premium_features': None, 'nsfw': False, 'member_count': 2, 'latest_onboarding_question_id': None, 'afk_channel_id': None, 'max_members': 25000000, 'roles': [{'version': 1761670446316, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2222085186637377', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1276297768406618142', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761851218093, 'unicode_emoji': None, 'tags': {'bot_id': '1430274526398251118'}, 'position': 1, 'permissions': '2147626048', 'name': 'Blockchain', 'mentionable': False, 'managed': True, 'id': '1433532651968532653', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'public_updates_channel_id': '1432774442085519374', 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'embedded_activities': [], 'discovery_splash': None, 'verification_level': 1, 'guild_scheduled_events': [], 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'mfa_level': 0, 'unavailable': False, 'premium_tier': 0, 'version': 1761775002628, 'lazy': True, 'safety_alerts_channel_id': None, 'soundboard_sounds': [], 'banner': None, 'vanity_url_code': None, 'voice_states': []}}
[2025-11-25 00:23:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-25 00:23:36] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-25 00:23:38] [DEBUG   ] discord.client: Dispatching event ready
[2025-11-25 00:23:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 3, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQ0MjcxNzM1Nzk3Mjc4NzI0MjpHQkxVcnpNOFhVRGhUQTd3eW15N084cXA5VXpFYkJzeGZTdVJqb2o4bkdoUEYyYk9CM0p6R0xsMlBJcTR2dWJOT1FBemt4WEtzQ2Y0aWlST0RVUk9JRm43bGdHS3pzTUNMRmFLMFhmUnhyZEhFaWRleGRCd0sxR2lId1FlWWJTcg', 'member': {'user': {'username': 'katoo43', 'public_flags': 4194304, 'primary_guild': None, 'id': '530073536107118613', 'global_name': 'KaTo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1271174324375519273', 'expires_at': None, 'asset': 'a_3d1e6078b2e4c8865e0ad0f429d651b1'}, 'avatar': 'aaf3caa3eef446b9c0c2a8c3e7d1d472'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-22T21:51:40.498000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'es-419', 'id': '1442717357972787242', 'guild_locale': 'en-US', 'guild_id': '1276297768406618142', 'guild': {'locale': 'en-US', 'id': '1276297768406618142', 'features': ['COMMUNITY', 'NEWS']}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'verwallets', 'id': '1440805811461820571'}, 'context': 0, 'channel_id': '1435321206545973381', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permissions': '9007199254740991', 'parent_id': '1276297768939421767', 'nsfw': False, 'name': 'general', 'last_message_id': '1442709820598779955', 'id': '1435321206545973381', 'guild_id': '1276297768406618142', 'flags': 0}, 'authorizing_integration_owners': {'1': '530073536107118613', '0': '1276297768406618142'}, 'attachment_size_limit': 10485760, 'application_id': '1430274526398251118', 'app_permissions': '2222085992083025'}}
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event interaction
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event command
[2025-11-25 00:23:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'webhook_id': '1430274526398251118', 'type': 20, 'tts': False, 'timestamp': '2025-11-25T03:23:42.880000+00:00', 'position': 0, 'pinned': False, 'nonce': '1442717354290053120', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433532651968532653'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-30T19:06:58.221000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'katoo43', 'public_flags': 4194304, 'primary_guild': None, 'id': '530073536107118613', 'global_name': 'KaTo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1271174324375519273', 'expires_at': None, 'asset': 'a_3d1e6078b2e4c8865e0ad0f429d651b1'}, 'avatar': 'aaf3caa3eef446b9c0c2a8c3e7d1d472'}, 'type': 2, 'name': 'verwallets', 'id': '1442717357972787242', 'command_type': 1, 'authorizing_integration_owners': {'1': '530073536107118613', '0': '1276297768406618142'}}, 'interaction': {'user': {'username': 'katoo43', 'public_flags': 4194304, 'primary_guild': None, 'id': '530073536107118613', 'global_name': 'KaTo', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1271174324375519273', 'expires_at': None, 'asset': 'a_3d1e6078b2e4c8865e0ad0f429d651b1'}, 'avatar': 'aaf3caa3eef446b9c0c2a8c3e7d1d472'}, 'type': 2, 'name': 'verwallets', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-22T21:51:40.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1442717357972787242'}, 'id': '1442717359428079748', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Exito', 'timestamp': '2025-11-25T03:23:42.458341+00:00', 'thumbnail': {'width': 512, 'url': 'https://images.icon-icons.com/2429/PNG/512/ethereum_logo_icon_147293.png', 'proxy_url': 'https://images-ext-1.discordapp.net/external/c3wMsJejhxO2eI7UuTXsAw_6kVnx8Zc5P-iW0V3tw6I/https/images.icon-icons.com/2429/PNG/512/ethereum_logo_icon_147293.png', 'placeholder_version': 1, 'placeholder': 'OQiKBQAs+BZ4h31wSAaCBQAAB1eHiIB0WA==', 'height': 512, 'flags': 0, 'content_type': 'image/png'}, 'id': '1442717359428079749', 'description': '0x742d35Cc6634C0532925a3b844Bc454e4438f44e, 0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97', 'content_scan_version': 2, 'color': 3066993}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1435321206545973381', 'author': {'username': 'Blockchain', 'public_flags': 65536, 'primary_guild': None, 'id': '1430274526398251118', 'global_name': None, 'display_name_styles': None, 'discriminator': '9087', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '9dbb177084f9c738cb5dee3f269a9a2d'}, 'attachments': [], 'application_id': '1430274526398251118', 'guild_id': '1276297768406618142'}}
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event message
[2025-11-25 00:23:42] [DEBUG   ] discord.webhook.async_: Webhook ID 1442717357972787242 with POST https://discord.com/api/v10/interactions/1442717357972787242/aW50ZXJhY3Rpb246MTQ0MjcxNzM1Nzk3Mjc4NzI0MjpHQkxVcnpNOFhVRGhUQTd3eW15N084cXA5VXpFYkJzeGZTdVJqb2o4bkdoUEYyYk9CM0p6R0xsMlBJcTR2dWJOT1FBemt4WEtzQ2Y0aWlST0RVUk9JRm43bGdHS3pzTUNMRmFLMFhmUnhyZEhFaWRleGRCd0sxR2lId1FlWWJTcg/callback has returned status code 200
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-11-25 00:23:42] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-11-25 00:24:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-11-25 00:24:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-25 00:24:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-11-25 00:24:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-25 00:25:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2025-11-25 00:25:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
